web,filename
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=10827,assoc1067.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7457,assoc1068.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=9957,assoc1069.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7459,assoc1070.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=8050,assoc1071.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=8646,assoc1072.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7463,assoc1073.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7465,assoc1074.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=14181,assoc1075.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7470,assoc1076.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=10828,assoc1077.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7516,assoc1078.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7548,assoc1079.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=13462,assoc1080.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=13488,assoc1081.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7573,assoc1082.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7582,assoc1083.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=10720,assoc1084.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=9163,assoc1085.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=14080,assoc1086.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=10688,assoc1087.csv
